"Ubicación","Categoría","Artículo","Descripción","Cantidad","Valor de costo","Total de línea"
"B09","TAPAS","1018 BLANCA","1018 BLANCA","36 000","$0.14","$5 040.00"
"B09","TAPAS","1018 NEGRA","1018 - 10 ALTURA 18 MM COLOR NEGRA","108 000","$0.14","$15 120.00"
"B09","TAPAS","1018 TRANSPARENTE","1018 TRANSPARENTE","6 000","$0.00","$0.00"
"C09","TAPAS","1037 NEGRA","TAPA 10 ALTURA 37 MM COLOR NEGRA","1 668","$0.28","$467.04"
"C09","TAPAS","1037 TRANSPARENTE","1037 TRANSPARENTE","15 000","$0.00","$0.00"
"C09","TAPAS","1323 BLANCA","1323 BLANCA","3 500","$0.28","$980.00"
"C09","TAPAS","1323 NEGRA","1323 NEGRA","12 000","$0.28","$3 360.00"
"B06","TAPAS","1330 BLANCA","1330 BLANCA","65 000","$0.00","$0.00"
"B06","TAPAS","1330 NEGRA","1330 NEGRA","10 000","$0.00","$0.00"
"A04","TAPAS","1330 NEGRA","1330 NEGRA","32 500","$0.00","$0.00"
"B09","TAPAS","1330 YADIS NGA","MINIYADIS NEGRA","55 000","$0.30","$16 500.00"
"C09","TAPAS","1338 YADIS NEGRA","1338 YADIS NEGRA","6 000","$0.00","$0.00"
"B08","TAPAS","1344 BCA","1344 BLANCA 3000 PIEZAS POR CAJA N","27 200","$0.38","$10 336.00"
"C15","TAPAS","1344 TRIANGULAR NEGRA","1344 TRIANGULAR NEGRA","8 000","$0.38","$3 040.00"
"B06","TAPAS","1525 BLANCA","1525 BLANCA","18 000","$0.32","$5 760.00"
"B06","TAPAS","1525 NEGRA","1525 NEGRA","16 000","$0.32","$5 120.00"
"B07","TAPAS","1526 BLANCA","1526 BLANCA","21 500","$0.34","$7 310.00"
"B08","TAPAS","1538 BLANCA","1538 BLANCA","12 000","$1.00","$12 000.00"
"A07","TAPAS","1538 BLANCA","1538 BLANCA","18 000","$1.00","$18 000.00"
"B09","TAPAS","1538 HEXA BCA","1538 HEXAGONAL BLANCA","18 000","$0.37","$6 660.00"
