product_id,Artículo,Product Type,Categoría,Valor de costo,Descripción
95efc655-c08d-4cde-8a0e-7c96fba60cff,1018 BLANCA,Storable Product,Tapa,$0.14,1018 BLANCA
a0ac5412-6208-4c55-b3f5-71d49febe4fb,1018 NEGRA,Storable Product,Tapa,$0.14,1018 - 10 ALTURA 18 MM COLOR NEGRA
23aa417b-bce5-4ff0-91b4-044cbae3be98,1018 TRANSPARENTE,Storable Product,Tapa,$0.00,1018 TRANSPARENTE
b9ad5008-9fb6-44d6-8d82-d49768267068,1037 NEGRA,Storable Product,Tapa,$0.28,TAPA 10 ALTURA 37 MM COLOR NEGRA
7117fe68-fd0a-4c26-a9b0-21a20634cb01,1037 TRANSPARENTE,Storable Product,Tapa,$0.00,1037 TRANSPARENTE
584caa11-791d-4168-97b7-84e8ae637ad6,1323 BLANCA,Storable Product,Tapa,$0.28,1323 BLANCA
f0d9c6e9-7f45-47c2-af46-ef28fdb4e57f,1323 NEGRA,Storable Product,Tapa,$0.28,1323 NEGRA
0c3416e4-878e-4476-aa8e-8043bd4fde0c,1330 BLANCA,Storable Product,Tapa,$0.00,1330 BLANCA
49ab1bfa-ecdd-4afd-8846-9f28cdfed586,1330 NEGRA,Storable Product,Tapa,$0.00,1330 NEGRA
0828b5d9-53fd-4366-a12a-0a724eb20921,1330 YADIS NGA,Storable Product,Tapa,$0.30,MINIYADIS NEGRA
98f352b0-1a9a-4325-9d7b-a113af5a6f1b,1338 YADIS NEGRA,Storable Product,Tapa,$0.00,1338 YADIS NEGRA
6b16a75f-1bb8-4075-8c22-678d7e86aeee,1344 BCA,Storable Product,Tapa,$0.38,1344 BLANCA 3000 PIEZAS POR CAJA N
c2c97dbd-e95d-4c50-8384-618db9666671,1344 TRIANGULAR NEGRA,Storable Product,Tapa,$0.38,1344 TRIANGULAR NEGRA
552aecea-66b5-45e6-a992-41cd9de26e31,1525 BLANCA,Storable Product,Tapa,$0.32,1525 BLANCA
cac3ad46-1230-44b6-968e-50228150543e,1525 NEGRA,Storable Product,Tapa,$0.32,1525 NEGRA
9b41fc6c-4ce8-4e0a-a916-7857b48afd0d,1526 BLANCA,Storable Product,Tapa,$0.34,1526 BLANCA
980244f0-024b-4c58-9ae4-68eb77a2617f,1538 BLANCA,Storable Product,Tapa,$1.00,1538 BLANCA
b73a2443-d053-4a1b-a176-2f3257c95969,1538 HEXA BCA,Storable Product,Tapa,$0.37,1538 HEXAGONAL BLANCA
73f445d4-a861-4742-943f-1a96b76a6341,1538 HEXA NGA,Storable Product,Tapa,$0.37,1538 HEXAGONAL NEGRA
0c7dbaf4-f2a9-498e-9576-0eb9a0126928,1538 NEGRA,Storable Product,Tapa,$0.37,TR 1538 NEGRA
11d8467e-52fa-47c8-ac39-621f2966749c,1538 YADIS AMATISTA,Storable Product,Tapa,$1.00,1538 YADIS AMATISTA
2dc03f6c-8639-4f52-83e3-422727bee36f,1538 YADIS BLANCA,Storable Product,Tapa,$0.41,YADIS  BLANCA
815bffe8-e109-4a8d-b691-db4d920818f1,1538 YADIS MENTA,Storable Product,Tapa,$0.00,YADIS MENTA
7f1d29e9-7fcf-458e-a68a-55d663e37912,1538 YADIS MORADO SATIN,Storable Product,Tapa,$1.00,1538 YADIS MORADO SATIN
431f204d-c714-450c-a67f-de9f64e52505,1538 YADIS NEGRA,Storable Product,Tapa,$0.41,YADIS NEGRA
7ba38456-2702-41d0-a997-19435289a5ef,1538 YADIS ORQUIDEA,Storable Product,Tapa,$1.00,1538 YADYS ORQUIDEA
49611be4-dce7-49ba-95ef-5c8f0c97d841,1538 YADIS ROSA GLITHER,Storable Product,Tapa,$1.00,1538 YADIS ROSA GLITHER
221e94d9-9691-4e35-b8d8-0e780f26e389,1538 YADIS SARA,Storable Product,Tapa,$1.00, 1538 YADIS SARA
70a4911a-0d62-4265-b2db-e385734e30fb,1538 YADIS TRANSPARENTE,Storable Product,Tapa,$0.00,YADIS TRANSPARENTE
5a3593e2-d45e-4d7f-ab98-279e430205c0,1538 YADIS TUTIFRUTI,Storable Product,Tapa,$0.41,YADIS TUTIFRUTI
6c222515-be78-4c4e-aabb-3e584194a9fe,1538 YADIS VEGAS,Storable Product,Tapa,$1.00,YADIS VEGAS
6c8ba31e-cb68-43cf-ac6c-d1a5d96a3b4e,1538 YADIS WATER MELON,Storable Product,Tapa,$1.00,YADIS WATER MELON
62dd6517-b01b-4214-b2c8-54521715fef2,1838 NATURAL,Storable Product,Tapa,$0.99,1838 NATURAL
15427d70-e033-4e25-919a-2a96c2ef0a48,ALAMBRE DE ACERO INOXIDABLE,Storable Product,Materia Prima / Alambre,$1.00,ROLLOS DE ALAMBRE DE ACERO INOXIDABLE cepillo
3b590b08-60d2-434b-84e9-3dabfa7f6686,ALAMBRE KOLA LOKA,Storable Product,Materia Prima / Alambre,$0.00,ALAMBRE KOLA LOKA
5c7ee2c2-cccf-42d3-a7b0-fb648f451b14,ALAMBRE PARA INSERTADORA,Storable Product,Materia Prima / Alambre,$1.00,ALAMBRE FIFA ALCE REDONDO 25
fca24246-57b6-4a8a-a2b4-5406fcdb8ed4,AMANECER  1264,Storable Product,Materia Prima / Pigmentos,$250.00,AMANECER 1244        PICOSA
2c208ed5-829c-4d34-a7e6-e0be93cf5191,AMARELO 22627,Storable Product,Materia Prima / Pigmentos,$1.00,AMARELO  22627    GAMACOLOR
66d4ffca-5eb0-4481-8564-265fafa65e85,AMARILLO  AMARELO 1107,Storable Product,Materia Prima / Pigmentos,$250.00,AMARILLO AMARELO 1107        PICOSA
c9e23b86-cdf1-416d-80ab-1519edeed613,AMARILLO BARRADAS,Storable Product,Materia Prima / Pigmentos,$250.00,AMARILLO BARRADAS 1130      PICOSA
033fa71a-986c-4be5-b3ea-d8fb46661069,AMARILLO NEON  22642,Storable Product,Materia Prima / Pigmentos,$1.00,AMARILLO NEON     22642 GAMACOLOR
80b76e9f-7d27-4fd0-b5a8-f8d2cb1b9a2f,AMATISTA 02208,Storable Product,Materia Prima / Pigmentos,$1.00,AMATISTA  02208    GAMACOLOR
38035a2f-6beb-4463-9d35-02b60a0db5f8,AZUL BARRADAS,Storable Product,Materia Prima / Pigmentos,$250.00,AZUL BARRADAS  0438      PICOSA
02bae7b7-3c83-4d8a-883c-49bee9ba15b4,AZUL NAVY 0772,Storable Product,Materia Prima / Pigmentos,$250.00,AZUL NAVY 0772      PICOSA
711d49a9-096a-456b-9bc2-b202e2aef0c8,AZUL NECTARIN 0746,Storable Product,Materia Prima / Pigmentos,$250.00,AZUL NECTARIN 0746       PICOSA
8631675e-90f5-4c8b-846b-605da6950fad,AZUL OCEANO 0773,Storable Product,Materia Prima / Pigmentos,$250.00,AZUK OCEANO 0773     PICOSA
094c0e57-b325-45af-b053-bc2fa222ec23,BALA BARRADAS,Storable Product,Cepillo,$0.20,"BARRADAS CON CERDA DELGADA 0.004"""
7bd4aecc-de2d-48c4-91b0-159a44d1035d,BALA NATURAL,Storable Product,Cepillo,$0.20,BALA NATURAL
5db83273-f543-418e-ae6d-e3edbf3c3682,BALA NEGRO PROFESIONAL PROSA,Storable Product,Cepillo,$0.00,BALA NEGRO PROFESIONAL PROSA
6b8c0f94-7e98-46a1-addb-acf4c60fa05f,BALA RECICLADO,Storable Product,Cepillo,$0.00,BALA RECICLADO
31695db9-6bae-4f2e-8de5-e774ed7a003f,BALA UNA MARAVILLA,Storable Product,Cepillo,$0.20,BALA UNA MARAVILLA CERDA 0.005
92c87202-622d-4d52-9118-2908b561b0e3,Balita Negro,Storable Product,Cepillo,$0.20,BALITA NEGRO
1e9f3d17-ac9e-4b03-9f54-cbdfc9286787,BALITA ROSA,Storable Product,Cepillo,$1.00,BALITA ROSA
cd7911f9-7668-4a91-94e9-846b0b7904d6,BALITA TRANSPARENTE,Storable Product,Cepillo,$0.20,BALITA TRANSPARENTE
9d81daeb-4153-4de3-8c83-d6ba397cf12e,BARRIL,Storable Product,Cepillo,$0.20,BARRIL
f8ef41f5-a41e-4f46-be25-915f473f1f35,BOLSA CELOFAN,Storable Product,Empaque,$1.00,BOLSA CELOFAN PARA MUESTRAS
5c4d9e09-ff9b-4f84-a2ed-9990e0540b12,BOLSA DE EMPAQUE,Storable Product,Empaque,$40.00,BOLSA DE EMPAQUE PARA CAJA
153034fd-8d59-451e-8e22-bea5babf39e5,BOLSA PARA BOTELLA,Storable Product,Empaque,$40.00,BOLSA DE PLASTICO TRANSPARENTE PARA BOTELLA PVC
8e359993-c900-4d7d-a07f-088b27cbd02e,BOLSA PARA CITOLOGICO,Storable Product,Empaque,$1.00,BOLSA PARA CITOLOGICO
82895ea1-f11c-4676-9d5a-1c8159ee0024,BOLSA POLY BAG,Storable Product,Empaque,$1.00,BOLSA  3X16
88decedb-a578-404e-984e-a0f1eb05f4e5,BOTELLA 1048 MINI BLANCA,Storable Product,Botella,$0.00,BOTELLA 1048 MNI BLANCA
2f98b1bf-6993-4bca-8a87-93133c5f1e76,BOTELLA 1048 MINI NEGRA,Storable Product,Botella,$0.00,BOTELLA 1048 MINI  NEGRA
b11dc565-2e46-4c36-b54e-9ef1c14aa5dc,BOTELLA 1048 MINI TRANSPARENTE,Storable Product,Botella,$1.00,BOTELLA 1048 MINI TRANSPARENTE
6385e2a7-9c49-4e8f-aae7-9e4025ac92be,BOTELLA 1080  DL NEGRA,Storable Product,Botella,$0.30,BOTELLA 1080 DL NEGRA
aabaf6ec-7c07-4b7f-be1a-efb7422aad2e,BOTELLA 1080 CHOCOLATE,Storable Product,Botella,$0.00,BOTELLA 1080 CHOCOLATE
a9542671-8360-43c6-a20b-ea4790c3f38d,BOTELLA 1080 DL Blanca,Storable Product,Botella,$0.30,BOTELLA 1080 DL Blanca
b0aa8929-ab7a-45b1-88a3-bc83585e4023,BOTELLA 1080 DL LILA,Storable Product,Botella,$1.00,BOTELLA 1080 DL LILA
