Artículo,Ubicación,Cantidad
1018 BLANCA,alm/Stock/B09,36000
1018 NEGRA,alm/Stock/B09,108000
1018 TRANSPARENTE,alm/Stock/B09,6000
1037 NEGRA,alm/Stock/C09,1668
1037 TRANSPARENTE,alm/Stock/C09,15000
1323 BLANCA,alm/Stock/C09,3500
1323 NEGRA,alm/Stock/C09,12000
1330 BLANCA,alm/Stock/B06,65000
1330 NEGRA,alm/Stock/B06,10000
1330 NEGRA,alm/Stock/A04,32500
1330 YADIS NGA,alm/Stock/B09,55000
1338 YADIS NEGRA,alm/Stock/C09,6000
1344 BCA,alm/Stock/B08,27200
1344 TRIANGULAR NEGRA,alm/Stock/C15,8000
1525 BLANCA,alm/Stock/B06,18000
1525 NEGRA,alm/Stock/B06,16000
1526 BLANCA,alm/Stock/B07,21500
1538 BLANCA,alm/Stock/B08,12000
1538 BLANCA,alm/Stock/A07,18000
1538 HEXA BCA,alm/Stock/B09,18000
1538 HEXA NGA,alm/Stock/B09,48000
1538 NEGRA,alm/Stock/B08,31000
1538 YADIS AMATISTA,alm/Stock/B04,336
1538 YADIS BLANCA,alm/Stock/B04,7000
1538 YADIS MENTA,alm/Stock/B04,2223
1538 YADIS MORADO SATIN,alm/Stock/B04,500
1538 YADIS NEGRA,alm/Stock/B04,45500
1538 YADIS ORQUIDEA,alm/Stock/B04,1114
1538 YADIS ROSA GLITHER,alm/Stock/B04,500
1538 YADIS SARA,alm/Stock/B04,380
1538 YADIS TRANSPARENTE,alm/Stock/A04,9000
1538 YADIS TUTIFRUTI,alm/Stock/B04,5500
1538 YADIS VEGAS,alm/Stock/A04,900
1538 YADIS VEGAS,alm/Stock/B04,1000
1538 YADIS WATER MELON,alm/Stock/B04,1000
1838 NATURAL,alm/Stock/C09,7500
ALAMBRE DE ACERO INOXIDABLE,alm/Stock/A03,14
ALAMBRE KOLA LOKA,alm/Stock/A03,1
ALAMBRE PARA INSERTADORA,alm/Stock/D03,18
AMANECER  1264,alm/Stock/F02,1.5
AMARELO 22627,alm/Stock/F01,5
AMARILLO  AMARELO 1107,alm/Stock/F02,0.65
AMARILLO BARRADAS,alm/Stock/Pigmentos,0.1
AMARILLO NEON  22642,alm/Stock/F01,4.5
AMATISTA 02208,alm/Stock/F01,4
AZUL BARRADAS,alm/Stock/Pigmentos,0.29
AZUL NAVY 0772,alm/Stock/F02,1.6
AZUL NECTARIN 0746,alm/Stock/F02,0.9
AZUL OCEANO 0773,alm/Stock/F02,1
BALA BARRADAS,alm/Stock/B01,113048
BALA NATURAL,alm/Stock/B02,24000
BALA NEGRO PROFESIONAL PROSA,alm/Stock/B01,21207
BALA RECICLADO,alm/Stock/B01,25000
BALA UNA MARAVILLA,alm/Stock/Revision,11564
BALA UNA MARAVILLA,alm/Stock/B02,100000
Balita Negro,alm/Stock/B02,35000
BALITA ROSA,alm/Stock/Piso_De_Almacen,10000
BALITA TRANSPARENTE,alm/Stock/B02,12396
BARRIL,alm/Stock/Piso_De_Almacen,1949
BOLSA CELOFAN,alm/Stock/D15,1300
BOLSA DE EMPAQUE,alm/Stock/A15,75
BOLSA PARA BOTELLA,alm/Stock/A15,50
BOLSA PARA CITOLOGICO,alm/Stock/D03,600
BOLSA POLY BAG,alm/Stock/D15,1000
BOTELLA 1048 MINI BLANCA,alm/Stock/C15,7677
BOTELLA 1048 MINI NEGRA,alm/Stock/C15,7677
BOTELLA 1048 MINI TRANSPARENTE,alm/Stock/D15,16882
BOTELLA 1080  DL NEGRA,alm/Stock/A16,11688
BOTELLA 1080 CHOCOLATE,alm/Stock/A16,4870
